key,rating,tier
p00-0036900,334.6,1
p00-0039075,322.6,1
p00-0036963,241.5,2
p00-0038543,233,2
p00-0036322,232,2
p00-0036358,226.45,3
p00-0035676,220.9,3
p00-0036554,217.48,3
p00-0031381,180.3,4
p00-0037247,178,4
p00-0034827,156.15,4
p00-0037238,147.95,4
p00-0037239,147.63,4
p00-0036410,147.46,4
p00-0035659,147.38,4
p00-0036912,147.36,4
p00-0036613,147.35,4
p00-0039067,147.35,4
p00-0031408,147.34,4
p00-0037740,147.34,4
p00-0039337,147.34,4
p00-0040124,147.34,4
p00-0039915,147.34,4
p00-0037664,121.25,5
p00-0035640,118.83,5
p00-0038117,117.61,5
p00-0039064,117.01,5
pBER218265,116.4,6
p00-0033908,115.2,6
p00-0040130,109,6
p00-0034348,102.95,6
p00-0039893,102.93,6
p00-0038559,102.91,6
p00-0037816,102.9,6
p00-0038997,102.9,6
p00-0038606,102.9,6
p00-0039916,102.9,6
p00-0039894,102.9,6
p00-0033921,102.9,6
p00-0040667,102.9,6
p00-0040170,102.9,6
p00-0037545,102.9,6
p00-0040129,102.9,6
p00-0039849,102.9,6
p00-0037261,102.9,6
p00-0037240,102.9,6
p00-0036252,102.9,6
p00-0039919,102.9,6
p00-0038124,102.9,6
p00-0040735,102.9,6
p00-0039146,102.9,6
p00-0038994,102.9,6
p00-0038544,102.9,6
p00-0034960,102.9,6
pCOO816508,102.9,7
pTHO417520,102.9,7
pBEL267684,102.8,7
pCON046719,98,7
p00-0034837,97.9,7
pTYS405541,89.1,7
pLEM694125,89.1,7
pStriDe01,83.3,7
p00-0040237,78.4,7
pBOS677861,75.6,7
pHUR541377,72.5,7
pWIL143106,65.9,7
pDOU210628,65.8,7
pLAN311008,65.7,7
p00-0033375,56.1,7
p00-0038621,55.7,7
p00-0040727,54.4,7
pBRA531428,52.1,7
p00-0039868,51.9,7
pFIE775129,51.8,7
p00-0038977,51.75,7
p00-0036407,51.73,7
p00-0038563,51.71,7
p00-0038979,51.7,8
p00-0032464,51.7,8
p00-0036309,50.9,8
p00-0039901,50.2,8
p00-0036415,50.2,8
p00-0037741,48.1,8
p00-0040705,47.1,8
p00-0036550,46.3,8
p00-0037291,45.45,8
p00-0039491,44.4,8
p00-0035662,42.8,8
p00-0038393,42.3,8
p00-0036626,42.1,8
p00-0038608,42.1,8
pBRA836631,41.4,8
p00-0035535,41.4,8
p00-0038104,41.3,8
p00-0036182,38.9,8
p00-0040782,37.8,8
p00-0039052,37.4,8
p00-0039342,35.3,8
p00-0039880,35,8
p00-0037801,33.8,8
p00-0039751,33,8
p00-0040669,32.8,8
p00-0040729,32.4,8
p00-0039424,31.6,8
p00-0033307,30.8,8
p00-0037666,23.5,8
p00-0039890,23.2,8
p00-0032775,22.9,8
p00-0038619,22.8,8
p00-0035208,22.4,8
p00-0036849,17,8
p00-0038612,16.6,8
p00-0039792,15.2,8
pTAT143045,9.9,8
p00-0036259,-2.1,8
