key,rating,comps,base
p00-0039139,494.98,7,2b89b086cc
p00-0038542,463.53,7,2b89b086cc
p00-0033280,372.25,10,2b89b086cc
p00-0036223,367.24,6,2b89b086cc
p00-0032764,359.22,7,2b89b086cc
p00-0034844,359.33,8,2b89b086cc
p00-0037248,378.81,6,2b89b086cc
p00-0040122,377.26,7,2b89b086cc
p00-0040666,328.47,7,2b89b086cc
p00-0037840,325.89,7,2b89b086cc
p00-0039040,361.43,8,2b89b086cc
p00-0038597,333.59,8,2b89b086cc
p00-0036973,331.49,8,2b89b086cc
p00-0038134,342.03,7,2b89b086cc
p00-0036997,351.15,9,2b89b086cc
pLOV121782,243.03,8,2b89b086cc
p00-0040734,287.76,7,2b89b086cc
p00-0040730,297.94,6,2b89b086cc
p00-0036275,309.31,7,2b89b086cc
p00-0039361,271.15,7,2b89b086cc
p00-0038120,291.15,10,2b89b086cc
p00-0040715,290.45,6,2b89b086cc
p00-0035700,301.54,7,2b89b086cc
p00-0035685,215.01,7,2b89b086cc
p00-0037228,272.95,6,2b89b086cc
p00-0033293,271.41,6,2b89b086cc
p00-0040242,230.89,7,2b89b086cc
p00-0035261,267.14,7,2b89b086cc
p00-0040236,218.5,6,2b89b086cc
p00-0039738,216.34,7,2b89b086cc
p00-0040719,261.73,8,2b89b086cc
p00-0036555,198.93,10,2b89b086cc
p00-0040784,256.44,8,2b89b086cc
p00-0036158,185.13,7,2b89b086cc
pPRI206342,161.71,7,2b89b086cc
p00-0036919,180.28,7,2b89b086cc
p00-0036139,181.65,7,2b89b086cc
p00-0036875,247.78,8,2b89b086cc
p00-0038611,199.39,8,2b89b086cc
p00-0038555,126.08,9,2b89b086cc
p00-0038454,146.11,6,2b89b086cc
p00-0039032,90.98,8,2b89b086cc
p00-0037197,145.87,7,2b89b086cc
p00-0039165,202.19,7,2b89b086cc
p00-0037525,142.02,8,2b89b086cc
p00-0033906,107.45,6,2b89b086cc
pBLA097235,103.9,7,2b89b086cc
p00-0039391,89.57,7,2b89b086cc
p00-0037263,110.99,7,2b89b086cc
p00-0037256,86.11,7,2b89b086cc
p00-0039384,42.5,7,2b89b086cc
p00-0040583,40.5,6,2b89b086cc
p00-0033553,45.48,7,2b89b086cc
p00-0038636,36.6,7,2b89b086cc
p00-0039875,34.6,6,2b89b086cc
p00-0040162,32.6,7,2b89b086cc
p00-0035250,40.26,7,2b89b086cc
p00-0037267,28.6,7,2b89b086cc
p00-0038797,26.6,7,2b89b086cc
p00-0039798,24.6,6,2b89b086cc
p00-0033526,22.6,8,2b89b086cc
p00-0040198,20.7,7,2b89b086cc
p00-0038098,18.7,7,2b89b086cc
p00-0036265,26.7,7,2b89b086cc
p00-0035537,14.7,7,2b89b086cc
p00-0029892,22.7,6,2b89b086cc
p00-0037157,10.7,7,2b89b086cc
p00-0038951,8.7,7,2b89b086cc
p00-0040179,6.7,6,2b89b086cc
p00-0037563,4.7,7,2b89b086cc
p00-0039407,2.7,6,2b89b086cc
p00-0038705,30.8,6,2b89b086cc
p00-0038685,8.8,5,2b89b086cc
p00-0035973,6.8,6,2b89b086cc
p00-0039921,24.8,6,2b89b086cc
p00-0038440,0.9,7,2b89b086cc
p00-0038551,8.9,7,2b89b086cc
p00-0039021,6.9,6,2b89b086cc
p00-0036020,14.9,6,2b89b086cc
