team,head_coach,offensive_coordinator
ARI,Jonathan Gannon,Nathaniel Hackett
ATL,Raheem Morris,Tommy Rees
BAL,Jesse Minter,Declan Doyle
BUF,Sean McDermott,Pete Carmichael
CAR,Dave Canales,Brad Idzik
CHI,Ben Johnson,Press Taylor
CIN,Zac Taylor,Dan Pitcher
CLE,Todd Monken,Travis Switzer
DAL,Brian Schottenheimer,Klayton Adams
DEN,Sean Payton,Davis Webb
DET,Dan Campbell,Drew Petzing
GB,Matt LaFleur,Adam Stenavich
HOU,DeMeco Ryans,Nick Caley
IND,Shane Steichen,Jim Bob Cooter
JAX,Liam Coen,Grant Udinski
KC,Andy Reid,Eric Bieniemy
LA,Sean McVay,Nate Scheelhaase
LAC,Jim Harbaugh,Mike McDaniel
LV,Klint Kubliak,Andrew Janocko
MIA,Jeff Hafley,Bobby Slowik
MIN,Kevin O'Connell,Wes Phillips
NE,Mike Vrabel,Josh McDaniels
NO,Kellen Moore,Doug Nussmeier
NYG,John Harbaugh,Matt Nagy
NYJ,Aaron Glenn,Frank Reich
PHI,Nick Sirianni,Sean Mannion
PIT,Mike McCarthy,Brian Angelichio
SEA,Mike Macdonald,Brian Fleury
SF,Kyle Shanahan,Klay Kubiak
TB,Todd Bowles,Zac Robinson
TEN,Robert Saleh,Brian Daboll
WAS,Dan Quinn,David Blough
