key,manual_tier,name,pos,total,ppg,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p1948,1,Josh Allen,QB,372.6,23.29,3668,25,10,112,579,14,,,,,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p1899,2,Lamar Jackson,QB,219.9,16.91,2549,21,7,67,349,2,,,,,,,,,,,,5940,13,974,29,2662,2,3278,28,
p2999,2,Jalen Hurts,QB,307.1,19.19,3224,25,6,105,421,8,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p5726,2,Caleb Williams,QB,322.2,18.95,3942,27,7,77,383,3,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p5545,2,Bo Nix,QB,307.8,18.11,3931,25,11,83,356,5,,,,,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p1431,2,Patrick Mahomes,QB,292.2,20.87,3587,22,11,64,422,5,,,,,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p5661,2,Drake Maye,QB,355.5,20.91,4394,31,8,103,450,4,,,,,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p2965,2,Justin Herbert,QB,297.9,18.62,3727,26,13,83,498,2,,,,,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p1946,2,Baker Mayfield,QB,278.9,16.41,3693,26,11,55,382,1,,,,,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p67,2,Matthew Stafford,QB,358.4,21.08,4707,46,8,29,1,0,,,,,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p2874,3,Jordan Love,QB,237.1,15.81,3381,23,6,47,199,0,,,,,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p5718,3,Jayden Daniels,QB,115.3,16.47,1262,8,3,58,278,2,,,,,,,,,,,,5619,23,990,27,2290,4,3329,24,
p1158,3,Jared Goff,QB,305.1,17.94,4564,34,8,19,45,0,,,,,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p3052,3,Joe Burrow,QB,139.5,17.43,1809,17,5,14,41,0,,,,,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p6466,3,Fernando Mendoza,QB,0.0,0.0,,,,,,,,,,,,,,,,,,4632,32,948,32,1317,32,3315,26,
p1141,3,Dak Prescott,QB,317.8,18.69,4552,30,10,53,177,2,,,,,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p4266,3,Brock Purdy,QB,185.4,20.6,2167,20,10,33,147,3,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p3555,3,Trevor Lawrence,QB,348.2,20.48,4007,29,12,82,359,9,,,,,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p5019,4,C.J. Stroud,QB,216.5,15.47,3041,19,8,48,209,1,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p1952,4,Sam Darnold,QB,245.4,14.44,4048,25,14,35,95,0,,,,,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p2124,4,Kyler Murray,QB,80.8,16.16,962,6,3,29,173,1,,,,,,,,,,,,5049,28,954,30,1841,23,3208,30,
p6384,4,Jaxson Dart,QB,244.6,17.47,2272,15,5,86,487,9,,,,,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p5012,4,Bryce Young,QB,227.0,14.19,3011,23,11,54,216,2,,,,,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p6374,5,Cam Ward,QB,193.7,11.39,3169,15,7,39,159,2,,,,,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p470,5,Geno Smith,QB,188.9,12.59,3025,19,17,41,109,0,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p6429,5,Tyler Shough,QB,162.0,14.72,2384,10,6,45,186,3,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p21,5,Aaron Rodgers,QB,231.6,14.47,3322,24,7,21,61,1,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p2450,5,Daniel Jones,QB,232.4,17.88,3101,19,8,45,164,5,,,,,,,,,,,,6092,9,1018,20,2007,17,4085,8,
