key,manual_tier,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0034857,1,Josh Allen,QB,BUF,372.6,23.29,7,30,3668,25,10,112,579,14,,,,,,,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0034796,2,Lamar Jackson,QB,BAL,219.9,16.91,13,29,2549,21,7,67,349,2,,,,,,,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0036389,2,Jalen Hurts,QB,PHI,307.1,19.19,10,28,3224,25,6,105,421,8,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0039918,2,Caleb Williams,QB,CHI,322.2,18.95,10,24,3942,27,7,77,383,3,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0039732,2,Bo Nix,QB,DEN,307.8,18.11,10,26,3931,25,11,83,356,5,,,,,,,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0033873,2,Patrick Mahomes,QB,KC,292.2,20.87,5,30,3587,22,11,64,422,5,,,,,,,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0039851,2,Drake Maye,QB,NE,355.5,20.91,11,24,4394,31,8,103,450,4,,,,,,,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036355,2,Justin Herbert,QB,LAC,297.9,18.62,7,28,3727,26,13,83,498,2,,,,,,,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0034855,2,Baker Mayfield,QB,TB,278.9,16.41,10,31,3693,26,11,55,382,1,,,,,,,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0026498,2,Matthew Stafford,QB,LA,358.4,21.08,11,38,4707,46,8,29,1,0,,,,,,,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0036264,3,Jordan Love,QB,GB,237.1,15.81,11,27,3381,23,6,47,199,0,,,,,,,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0039910,3,Jayden Daniels,QB,WAS,115.3,16.47,7,25,1262,8,3,58,278,2,,,,,,,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0033106,3,Jared Goff,QB,DET,305.1,17.94,6,31,4564,34,8,19,45,0,,,,,,,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0036442,3,Joe Burrow,QB,CIN,139.5,17.43,6,29,1809,17,5,14,41,0,,,,,,,,,,,,,,5835,18,1057,16,1591,29,4244,7,
pMEN516487,3,Fernando Mendoza,QB,LV,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0033077,3,Dak Prescott,QB,DAL,317.8,18.69,14,33,4552,30,10,53,177,2,,,,,,,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0037834,3,Brock Purdy,QB,SF,185.4,20.6,8,26,2167,20,10,33,147,3,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0036971,3,Trevor Lawrence,QB,JAX,348.2,20.48,7,26,4007,29,12,82,359,9,,,,,,,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0039163,4,C.J. Stroud,QB,HOU,216.5,15.47,8,24,3041,19,8,48,209,1,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0034869,4,Sam Darnold,QB,SEA,245.4,14.44,11,29,4048,25,14,35,95,0,,,,,,,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0035228,4,Kyler Murray,QB,MIN,80.8,16.16,6,29,962,6,3,29,173,1,,,,,,,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0040691,4,Jaxson Dart,QB,NYG,244.6,17.47,8,23,2272,15,5,86,487,9,,,,,,,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0039150,4,Bryce Young,QB,CAR,227.0,14.19,5,25,3011,23,11,54,216,2,,,,,,,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0040676,5,Cam Ward,QB,TEN,193.7,11.39,9,24,3169,15,7,39,159,2,,,,,,,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0030565,5,Geno Smith,QB,NYJ,188.9,12.59,13,35,3025,19,17,41,109,0,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0040743,5,Tyler Shough,QB,NO,162.0,14.72,8,26,2384,10,6,45,186,3,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0023459,5,Aaron Rodgers,QB,PIT,231.6,14.47,9,42,3322,24,7,21,61,1,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0035710,5,Daniel Jones,QB,IND,232.4,17.88,13,29,3101,19,8,45,164,5,,,,,,,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0036212,5,Tua Tagovailoa,QB,ATL,173.7,12.41,11,28,2660,20,15,20,43,0,,,,,,,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0033119,5,Jacoby Brissett,QB,ARI,233.4,16.67,14,33,3366,23,8,38,168,1,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
pBeckCa01,5,Carson Beck,QB,ARI,0.0,0.0,14,,,,,,,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0040668,6,Shedeur Sanders,QB,CLE,94.9,11.86,11,24,1400,7,10,21,169,1,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0038128,6,Malik Willis,QB,MIA,51.2,12.79,6,27,422,3,0,22,123,2,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0039139,1,Jahmyr Gibbs,RB,DET,328.4,19.32,6,24,,,,243,1223,13,94,77,616,5,16.2,15,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0038542,1,Bijan Robinson,RB,ATL,329.3,19.37,11,24,,,,287,1478,7,103,79,820,4,19.8,13,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0036223,2,Jonathan Taylor,RB,IND,337.3,19.84,13,27,,,,323,1585,18,55,46,378,2,11.0,5,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0037248,2,James Cook,RB,BUF,285.7,16.81,7,26,,,,309,1621,12,40,33,291,2,8.2,3,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0033280,2,Christian McCaffrey,RB,SF,365.6,21.51,8,30,,,,311,1202,10,129,102,924,7,23.4,25,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0032764,2,Derrick Henry,RB,BAL,272.0,16.0,13,32,,,,307,1595,16,21,15,150,0,4.9,2,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0037840,2,Kyren Williams,RB,LA,245.3,14.43,11,26,,,,259,1252,10,50,36,281,3,8.1,10,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0040122,2,Ashton Jeanty,RB,LV,217.6,12.8,13,22,,,,266,975,5,73,55,346,5,14.8,10,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0034844,2,Saquon Barkley,RB,PHI,211.8,13.24,10,29,,,,280,1140,7,50,37,273,2,12.1,8,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0039040,2,De'Von Achane,RB,MIA,289.3,18.08,6,24,,,,238,1350,8,85,67,488,4,18.8,11,,,,,,,,5366,26,949,31,2044,13,3322,25,
pPRI206342,2,Jadarian Price,RB,SEA,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0038597,3,Chase Brown,RB,CIN,246.1,14.48,6,26,,,,232,1019,6,88,69,437,5,14.3,12,,,,,,,,5835,18,1057,16,1591,29,4244,7,
pLOV121782,3,Jeremiyah Love,RB,ARI,0.0,0.0,14,,,,,,,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0038134,3,Kenneth Walker III,RB,KC,176.4,10.38,5,25,,,,221,1027,5,36,31,282,0,8.3,3,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0038120,3,Breece Hall,RB,NYJ,189.7,11.85,13,25,,,,243,1065,4,48,36,350,1,10.6,9,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0040734,3,TreVeyon Henderson,RB,NE,188.7,11.1,11,23,,,,180,911,9,42,35,221,1,8.4,4,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036973,3,Travis Etienne,RB,NO,235.9,13.88,8,27,,,,260,1107,7,52,36,292,6,9.8,10,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0035700,4,Josh Jacobs,RB,GB,219.1,14.61,11,28,,,,234,929,13,44,36,282,1,10.2,6,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0035261,4,Tony Pollard,RB,TEN,169.3,9.96,9,29,,,,242,1082,5,41,33,206,0,7.6,1,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0036275,4,D'Andre Swift,RB,CHI,211.6,13.22,10,27,,,,223,1087,9,48,34,299,1,9.4,1,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0037228,4,Jaylen Warren,RB,PIT,197.1,12.32,9,27,,,,211,958,6,45,40,333,2,9.6,5,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0039361,4,Bucky Irving,RB,TB,123.5,12.35,10,24,,,,173,588,1,35,30,277,3,10.7,4,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0040730,4,RJ Harvey,RB,DEN,183.1,10.77,10,25,,,,146,540,7,58,47,356,5,10.2,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0036997,4,Javonte Williams,RB,DAL,225.3,14.08,14,26,,,,252,1201,11,51,35,137,2,8.6,12,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0040784,5,Quinshon Judkins,RB,CLE,154.8,11.06,11,22,,,,230,827,7,36,26,171,0,8.3,1,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0035685,5,David Montgomery,RB,HOU,152.9,9.0,8,29,,,,158,716,8,29,24,192,0,5.4,2,,,,,,,,5808,19,1088,6,1852,22,3956,14,
