key,manual_tier,rating,tier_note,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,Rush%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0039139,1,402.65,,Jahmyr Gibbs,RB,DET,328.4,19.32,6,24,,,,243,1223,13,94,77,616,5,16.2,55.8,15,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0034857,1,385.97,,Josh Allen,QB,BUF,372.6,23.29,7,30,3668,25,10,112,579,14,,,,,,,,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0036900,1,297.72,,Ja'Marr Chase,WR,CIN,251.1,15.69,6,26,,,,,,,185,125,1412,8,32.1,1.0,22,,,,,,,,5835,18,1057,16,1591,29,4244,7,80.0
p00-0037744,1,235.06,,Trey McBride,TE,ARI,252.9,14.88,14,26,,,,,,,169,126,1239,11,27.9,,34,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0037692,1,182.5,,Brandon Aubrey,K,DAL,180.6,10.62,14,31,,,,,,,,,,,,,,36,42,47,,,,,,,,,,,,,
dDEN,1,138.57,,DEN,DST,DEN,142.0,8.35,10,,,,,,,,,,,,,,,,,,18.3,68,10,2,,,,,,,,,
dSEA,1,133.95,,SEA,DST,SEA,171.0,10.06,11,,,,,,,,,,,,,,,,,,17.2,47,18,5,,,,,,,,,
p00-0038542,2,358.57,,Bijan Robinson,RB,ATL,329.3,19.37,11,24,,,,287,1478,7,103,79,820,4,19.8,61.5,13,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0036389,2,323.88,,Jalen Hurts,QB,PHI,307.1,19.19,10,28,3224,25,6,105,421,8,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0034796,2,315.93,,Lamar Jackson,QB,BAL,219.9,16.91,13,29,2549,21,7,67,349,2,,,,,,,,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0039732,2,310.9,,Bo Nix,QB,DEN,307.8,18.11,10,26,3931,25,11,83,356,5,,,,,,,,,,,,,,,5949,12,1092,5,2018,16,3931,17,
