key,rating,comps
p00-0034857,476.88,11
p00-0036389,349.44,11
p00-0034796,361.68,12
p00-0039732,286.6,13
p00-0034855,253.16,11
p00-0026498,274.27,12
p00-0033873,269.67,12
p00-0036355,307.17,10
p00-0039918,307.6,11
p00-0039851,337.6,13
pMEN516487,246.69,11
p00-0033106,245.72,11
p00-0036971,280.62,11
p00-0033077,247.33,13
p00-0036264,216.21,11
p00-0037834,246.55,11
p00-0036442,260.67,11
p00-0034869,220.79,9
p00-0039163,175.81,11
p00-0030565,167.7,13
p00-0039910,306.44,15
p00-0039150,175.02,11
p00-0023459,118.52,11
p00-0036212,88.33,12
p00-0040676,229.79,11
p00-0035710,209.66,11
p00-0040691,62.32,11
p00-0040743,171.99,11
pBeckCa01,38.83,12
p00-0039923,18.11,11
p00-0035228,130.86,11
p00-0033119,-18.62,11
p00-0040668,-14.66,11
p00-0038128,9.09,12
p00-0039139,434.36,16
p00-0038542,403.93,16
p00-0033280,282.49,17
p00-0036223,292.41,17
p00-0032764,251.62,16
pLOV121782,202.68,18
p00-0037248,253.83,17
p00-0034844,225.63,16
p00-0039040,215.67,16
p00-0037840,217.97,17
pBLA097235,131.04,16
p00-0040122,172.04,16
p00-0033906,130.24,16
p00-0038597,158.96,17
p00-0040666,140.51,16
p00-0039384,116.5,16
p00-0040583,108.81,15
p00-0036973,107.12,15
p00-0033553,98.82,15
p00-0037263,81.7,16
p00-0037746,52.74,20
p00-0040734,72.89,16
p00-0037525,107.29,17
p00-0036275,96.56,16
p00-0038134,98.86,16
p00-0036997,94.53,16
p00-0035250,67.23,18
p00-0035700,71.73,18
p00-0039032,114.72,18
p00-0038120,61.87,19
p00-0040730,83.55,17
p00-0034975,80.57,17
p00-0037267,60.94,15
p00-0039361,58.61,15
p00-0036555,70.25,16
p00-0039391,56.13,16
p00-0039875,43.02,17
p00-0038797,40.85,18
p00-0033526,51.23,16
p00-0037228,36.99,15
p00-0038555,71.92,15
p00-0040162,47.15,16
p00-0035685,23.62,16
p00-0038951,9.65,19
p00-0036139,45.02,22
p00-0040784,23.01,16
p00-0036875,20.69,16
p00-0033293,46.36,16
p00-0035537,17.14,21
p00-0035261,23.54,16
p00-0036919,43.59,16
p00-0039165,22.47,16
p00-0040236,46.01,16
p00-0040242,32.61,17
p00-0037157,16.14,17
p00-0038705,17.87,16
p00-0039798,31.8,16
pPRI206342,97.73,16
p00-0037256,18.83,18
p00-0040719,35.73,17
p00-0040198,28.68,16
p00-0040715,46.47,16
p00-0036158,21.1,16
p00-0038611,66.15,16
p00-0029892,19.98,17
p00-0037197,54.89,17
p00-0039738,38.06,16
p00-0036900,325.95,5
p00-0039075,271.19,4
p00-0036963,231.85,5
p00-0038543,231.02,5
p00-0036322,243.82,6
p00-0035676,226.53,9
p00-0036554,213.09,6
p00-0036358,185.02,6
pTYS405541,196.2,5
pLEM694125,196.2,5
pCON046719,196.2,6
p00-0031381,174.5,6
p00-0039064,165.19,6
p00-0037247,140,5
p00-0034960,145.06,8
pStriDe01,167.9,6
pBOS677861,167.9,5
p00-0037238,72.66,6
p00-0036410,59.13,5
p00-0039915,59.13,5
p00-0038563,124.01,6
p00-0037239,70.08,6
p00-0040124,35.58,5
pWIL143106,148.3,5
pDOU210628,148.3,5
pLAN311008,148.3,5
pBRA836631,148.3,5
pHUR541377,148.3,6
p00-0035659,57.75,5
p00-0036912,35.01,5
p00-0039893,34.27,5
p00-0034348,23.55,6
p00-0034837,94.99,6
p00-0037740,55.93,5
p00-0037240,10.56,5
p00-0036613,33.51,5
p00-0031408,33.43,5
p00-0040129,22.23,6
pCOO816508,184.38,6
p00-0037664,32.23,5
p00-0039337,67.11,6
p00-0038559,32.26,5
p00-0036252,22.12,6
p00-0038606,71.32,5
p00-0033921,77.39,6
p00-0039067,66.91,6
p00-0038994,9.62,5
p00-0039849,43.68,8
pBER218265,155.71,6
p00-0038544,7.94,5
p00-0037545,46.7,5
p00-0037261,9.82,5
pBRA531428,138.3,7
p00-0040735,30.53,5
p00-0039919,7.39,5
p00-0038621,40.3,5
pFIE775129,138.3,6
p00-0039894,18.86,6
pTHO417520,138.3,6
p00-0038124,41.81,8
pBEL267684,138.3,6
p00-0036309,35.39,6
p00-0040170,32.76,6
p00-0039901,34.76,5
p00-0040705,32.1,6
p00-0039146,8.35,5
p00-0036550,30.89,5
p00-0035535,25.41,6
p00-0038608,27.1,6
p00-0035662,27.4,5
p00-0038393,27.4,5
p00-0039491,37.82,8
p00-0039342,19.3,6
p00-0039880,20.1,5
p00-0037801,18.29,5
p00-0036182,30.58,5
p00-0040669,17.9,5
p00-0040667,35.64,8
p00-0039424,16.7,5
p00-0033307,15.34,5
p00-0040782,35.7,7
p00-0038619,7.9,7
