key,rating,comps,base
p00-0039139,529.59,11,2b89b086cc
p00-0038542,470.15,10,2b89b086cc
p00-0033280,388.74,13,2b89b086cc
p00-0036223,377.12,11,2b89b086cc
p00-0032764,348.48,12,2b89b086cc
p00-0034844,361.06,12,2b89b086cc
p00-0037248,384.68,12,2b89b086cc
p00-0040122,356.7,11,2b89b086cc
p00-0040666,339.91,12,2b89b086cc
p00-0037840,325.93,11,2b89b086cc
p00-0039040,353.14,13,2b89b086cc
p00-0038597,345.84,11,2b89b086cc
p00-0036973,318.99,11,2b89b086cc
p00-0038134,354.16,10,2b89b086cc
p00-0036997,326.57,11,2b89b086cc
pLOV121782,243.04,12,2b89b086cc
p00-0040734,288.9,13,2b89b086cc
p00-0040730,261.77,11,2b89b086cc
p00-0036275,309.52,11,2b89b086cc
p00-0039361,307.09,10,2b89b086cc
p00-0038120,279.39,11,2b89b086cc
p00-0040715,278.87,11,2b89b086cc
p00-0035700,325.19,11,2b89b086cc
p00-0035685,274.11,12,2b89b086cc
p00-0037228,284.84,11,2b89b086cc
p00-0033293,210.51,13,2b89b086cc
p00-0040242,219.69,10,2b89b086cc
p00-0035261,254.59,10,2b89b086cc
p00-0040236,218.03,10,2b89b086cc
p00-0039738,251.97,10,2b89b086cc
p00-0040719,238.03,12,2b89b086cc
p00-0036555,221.52,14,2b89b086cc
p00-0040784,267.99,11,2b89b086cc
p00-0036158,185.29,11,2b89b086cc
pPRI206342,185.32,11,2b89b086cc
p00-0036919,180.54,9,2b89b086cc
p00-0036139,146.89,10,2b89b086cc
p00-0036875,259.71,11,2b89b086cc
p00-0038611,199.11,10,2b89b086cc
p00-0038555,138.78,12,2b89b086cc
p00-0038454,145.46,10,2b89b086cc
p00-0039032,77.69,11,2b89b086cc
p00-0037197,122.91,11,2b89b086cc
p00-0039165,168.42,10,2b89b086cc
p00-0037525,107.11,11,2b89b086cc
p00-0033906,87.66,10,2b89b086cc
pBLA097235,116.42,10,2b89b086cc
p00-0039391,92.51,13,2b89b086cc
p00-0037263,64.45,11,2b89b086cc
p00-0037256,111.44,11,2b89b086cc
p00-0039384,42.5,7,2b89b086cc
