date,name,team_pos,proj_value,avg_cost,pct_drafted,all_dollars
2026-07-28,Jahmyr Gibbs,DET - RB,62,72.9,100,62|72.9
2026-07-28,Bijan Robinson,ATL - RB,61,72.5,100,61|72.5
2026-07-28,Ja'Marr Chase,CIN - WR,60,66.0,100,60|66
2026-07-28,Puka Nacua,LAR - WR,59,63.1,100,59|63.1
2026-07-28,Christian McCaffrey,SF - RB,57,61.1,100,57|61.1
2026-07-28,Jaxon Smith-Njigba,SEA - WR,58,60.4,100,58|60.4
2026-07-28,Jonathan Taylor,IND - RB,55,57.8,100,55|57.8
2026-07-28,Amon-Ra St. Brown,DET - WR,54,54.4,100,54|54.4
2026-07-28,CeeDee Lamb,DAL - WR,52,54.0,100,52|54
2026-07-28,James Cook III,BUF - RB,50,53.6,100,50|53.6
2026-07-28,Justin Jefferson,MIN - WR,48,48.7,100,48|48.7
2026-07-28,Ashton Jeanty,LV - RB,46,48.2,100,46|48.2
2026-07-28,Saquon Barkley,PHI - RB,44,46.1,100,44|46.1
2026-07-28,De'Von Achane,MIA - RB,36,44.8,100,36|44.8
2026-07-28,Chase Brown,CIN - RB,42,44.6,100,42|44.6
2026-07-28,Omarion Hampton,LAC - RB,37,42.8,100,37|42.8
2026-07-28,Drake London,ATL - WR,43,41.3,100,43|41.3
2026-07-28,Kenneth Walker III,KC - RB,42,38.9,100,42|38.9
2026-07-28,Nico Collins,HOU - WR,41,37.4,100,41|37.4
2026-07-28,Brock Bowers,LV - TE,38,37.2,100,38|37.2
2026-07-28,Derrick Henry,BAL - RB,35,36.2,100,35|36.2
2026-07-28,Trey McBride,ARI - TE,31,32.7,100,31|32.7
2026-07-28,Josh Allen,BUF - QB,29,32.6,100,29|32.6
2026-07-28,George Pickens,DAL - WR,34,32.2,100,34|32.2
2026-07-28,Jeremiyah Love,ARI - RB,30,31.1,100,30|31.1
2026-07-28,A.J. Brown,NE - WR,32,28.2,100,32|28.2
2026-07-28,Josh Jacobs,GB - RB,21,26.7,100,21|26.7
2026-07-28,Malik Nabers,NYG - WR,14,26.1,100,14|26.1
2026-07-28,Chris Olave,NO - WR,27,24.7,100,27|24.7
2026-07-28,Kyren Williams,LAR - RB,25,24.2,100,25|24.2
2026-07-28,Rashee Rice,KC - WR,26,23.9,100,26|23.9
2026-07-28,DeVonta Smith,PHI - WR,33,23.6,100,33|23.6
2026-07-28,Javonte Williams,DAL - RB,23,21.2,100,23|21.2
2026-07-28,Tee Higgins,CIN - WR,28,19.7,100,28|19.7
2026-07-28,Lamar Jackson,BAL - QB,17,19.4,100,17|19.4
2026-07-28,Breece Hall,NYJ - RB,20,19.3,100,20|19.3
2026-07-28,Tetairoa McMillan,CAR - WR,19,18.9,100,19|18.9
2026-07-28,Colston Loveland,CHI - TE,20,18.3,100,20|18.3
